mode_type,street,lat,long
mv,,42.2712907472424,-71.1046716579242
ped,RIVER ST,42.2714312098121,-71.0734768989681
mv,,42.330123147529,-71.0480506499747
ped,SAINT JAMES AVE,42.3508308740044,-71.0711389541788
mv,,42.3548247717814,-71.0747899593084
mv,,42.2960404455713,-71.1161471602017
mv,MASSPORT HAUL RD,42.3459447429852,-71.0398152754756
mv,MASSACHUSETTS AVE,42.3313623049535,-71.0707173959614
ped,DEERING RD,42.2838892364446,-71.092558371636
ped,,42.2871416001472,-71.0788476951954
mv,,42.2826097294558,-71.0557143257103
mv,WAYNE ST,42.307507423615,-71.0861733281113
mv,,42.3113549158776,-71.0702349143055
mv,,42.2725620328483,-71.1201982836096
mv,,42.3064093390011,-71.0537094537002
mv,WASHINGTON ST,42.3661699965509,-71.0584579403857
mv,,42.3302811446429,-71.060978150529
mv,,42.3481361829417,-71.0602995471048
mv,BOARDMAN ST,42.3885670080027,-71.0099011496361
mv,,42.2966420675368,-71.0464231258188
mv,MASSPORT HAUL RD,42.3459447429852,-71.0398152754756
bike,,42.3525315867094,-71.0668776837902
ped,,42.3237712898961,-71.0739130218456
mv,GLEN RD,42.3084939712035,-71.1010583612342
ped,,42.3277494870544,-71.0774239686893
bike,,42.3452904627038,-71.0698296721774
mv,,42.3854017789526,-71.0195191439603
mv,TERMINAL RD,42.3693937130026,-71.0198618456005
mv,MASSACHUSETTS AVE,42.3276578900156,-71.0675915556677
ped,,42.3416758265244,-71.075931143779
ped,BROOKLINE ST,42.3431043589859,-71.0764268623018
mv,RIVER ST,42.2713922471856,-71.0750228670794
mv,,42.3455483993294,-71.0943651520105
ped,,42.288265973467,-71.0553615363929
mv,,42.2986803087514,-71.0866573293962
ped,QUINCY ST,42.3089386069214,-71.0660802350233
ped,,42.2707841994784,-71.1721643360108
mv,,42.3942292800659,-71.0674071761529
mv,TALBOT AVE,42.2899139707807,-71.0694695075168
mv,,42.3316070014006,-71.0531195109589
mv,FANEUIL ST,42.3556384597391,-71.1538082090657
mv,,42.3038113050318,-71.047776855214
mv,BENNINGTON ST,42.3860512924925,-71.0087120884778
mv,COURT ST,42.3589417055856,-71.0584612458581
mv,WOODROW AVE,42.2867730563417,-71.0857808030396
mv,,42.3391016236161,-71.0923120451917
mv,TERMINAL RD,42.364779999221,-71.0192289997146
mv,CENTRE ST,42.297747418337,-71.130855313975
mv,,42.3538661928205,-71.0478541395748
ped,AMORY ST,42.3188673877494,-71.1009579408899
ped,MASSACHUSETTS AVE,42.3260996099445,-71.066274369575
ped,,42.3468219073339,-71.0989341141564
ped,,42.3146144336358,-71.0788260558534
mv,,42.2839892267024,-71.0467290425089
mv,,42.3467091767955,-71.1051172586018
mv,,42.3525871900135,-71.0554181413072
mv,,42.3278472415671,-71.079386796371
mv,,42.2867573063123,-71.1310556426
ped,MALCOLM X BLVD,42.3312054179934,-71.0909714032612
mv,,42.2799830547326,-71.118969288207
ped,COMMONWEALTH AVE,42.3521309933603,-71.1234177806752
mv,,42.3555390131485,-71.1327575936923
ped,ALLSTATE RD,42.3291206253085,-71.0625811674372
mv,,42.3335481558798,-71.0639091490055
mv,,42.2984918813799,-71.0730257325676
mv,COLUMBIA RD,42.3214436305488,-71.0550411028344
mv,MASSACHUSETTS AVE,42.3239841261866,-71.0644983023428
ped,CUMMINS HWY,42.2838379000051,-71.1244502656015
mv,BLUE HILL AVE,42.3030633952933,-71.0851861829643
mv,,42.3335481558798,-71.0639091490055
ped,,42.3433745926585,-71.0857631310821
ped,WASHINGTON ST,42.3285714611699,-71.0858647959592
ped,,42.2790787900519,-71.1167940038063
mv,,42.3520761978801,-71.1245903077119
mv,,42.3311941476621,-71.0748151792932
mv,,42.3455483993294,-71.0943651520105
ped,WARREN ST,42.3296361859534,-71.083283106696
mv,,42.3525871900135,-71.0554181413072
mv,DORCHESTER AVE,42.3117107290282,-71.0574973231058
mv,,42.300666084375,-71.0491771297615
mv,CUMMINS HWY,42.2732712640563,-71.1081240294144
mv,,42.2634302052732,-71.1064958432729
mv,,42.3735124938485,-71.0381400152546
mv,,42.2799830547326,-71.118969288207
ped,,42.3566844652757,-71.0617846556603
ped,,42.3350231644836,-71.0750611852528
mv,GRANITE AVE,42.2784593650515,-71.0539802911644
mv,WASHINGTON ST,42.284894997345,-71.1297989209609
mv,BLUE HILL AVE,42.3021730742736,-71.0854666482116
ped,,42.3506381817122,-71.1108452652947
ped,MAPLE ST,42.2903382918086,-71.1565306583037
mv,,42.3492781726375,-71.0435411163939
ped,WASHINGTON ST,42.3441754021683,-71.1436839426004
mv,WILLIAM T MORRISSEY BLVD,42.2939769992394,-71.0472869995411
ped,RIVER ST,42.2644951980393,-71.1002752168447
mv,,42.2894501102854,-71.0896329543265
mv,,42.3547449990351,-71.0514723805431
mv,,42.3321181496861,-71.0792771952443
ped,,42.3844177908682,-71.0154717635859
mv,SARATOGA ST,42.3849366480654,-71.0019596521529
mv,,42.3087831125722,-71.1213363140132
mv,,42.3523893520207,-71.1631891811942
mv,MASSPORT HAUL RD,42.3459447429852,-71.0398152754756
mv,,42.3492217407276,-71.0915791730256
mv,ARBORWAY NULL,42.3082763371341,-71.1198829045324
mv,,42.2876880686948,-71.093869231729
mv,,42.2500923757341,-71.1224603780475
mv,FERNBORO ST,42.3108454860682,-71.0776176044748
bike,,42.3668632158416,-71.0585391508754
